Emergency_Stage,Service,Urgency_Type,Waiting_Time,People_Waiting,Weekday,Month,Season,Day
4.0,Medicina,Urgncia Central,18.26086956521739,0.2391304347826087,4,2,winter,23.0
4.0,Cirurgia,Urgncia Central,50.125,0.20833333333333334,5,2,winter,
4.0,Medicina,Urgncia Central,16.9375,0.25,5,2,winter,24.0
4.0,Cirurgia,Urgncia Central,29.91764705882353,0.10588235294117647,6,2,winter,
4.0,Medicina,Urgncia Central,13.657894736842104,0.16666666666666666,6,2,winter,25.0
4.0,Cirurgia,Urgncia Central,47.42045454545455,0.13636363636363635,0,2,winter,
4.0,Medicina,Urgncia Central,15.088888888888889,0.5407407407407407,0,2,winter,26.0
4.0,Medicina,Urgncia Central,11.935779816513762,0.10091743119266056,1,2,winter,27.0
4.0,Cirurgia,Urgncia Central,38.02061855670103,0.36082474226804123,1,2,winter,
4.0,Cirurgia,Urgncia Central,26.333333333333332,0.2,2,2,winter,
4.0,Medicina,Urgncia Central,16.81451612903226,0.3467741935483871,2,2,winter,28.0
4.0,Cirurgia,Urgncia Central,15.159090909090908,0.06818181818181818,3,3,winter,
4.0,Medicina,Urgncia Central,21.39,0.31,3,3,winter,1.0
4.0,Medicina,Urgncia Central,16.4375,0.21875,4,3,winter,2.0
4.0,Cirurgia,Urgncia Central,32.320754716981135,0.03773584905660377,4,3,winter,
4.0,Medicina,Urgncia Central,16.3135593220339,0.3135593220338983,5,3,winter,3.0
4.0,Cirurgia,Urgncia Central,35.53703703703704,0.48148148148148145,5,3,winter,
4.0,Medicina,Urgncia Central,11.459677419354838,0.0967741935483871,6,3,winter,4.0
4.0,Cirurgia,Urgncia Central,16.813953488372093,0.11627906976744186,6,3,winter,
4.0,Medicina,Urgncia Central,12.412698412698413,0.16666666666666666,0,3,winter,5.0
4.0,Cirurgia,Urgncia Central,50.70229007633588,0.4961832061068702,0,3,winter,
4.0,Medicina,Urgncia Central,16.289473684210527,0.42105263157894735,1,3,winter,6.0
4.0,Cirurgia,Urgncia Central,43.626506024096386,0.37349397590361444,1,3,winter,
4.0,Medicina,Urgncia Central,16.88135593220339,0.2627118644067797,2,3,winter,7.0
4.0,Cirurgia,Urgncia Central,22.041095890410958,0.0136986301369863,2,3,winter,
4.0,Medicina,Urgncia Central,22.02020202020202,0.4444444444444444,3,3,winter,8.0
4.0,Cirurgia,Urgncia Central,27.714285714285715,0.20238095238095238,3,3,winter,
4.0,Cirurgia,Urgncia Central,48.76923076923077,0.10256410256410256,4,3,winter,
4.0,Medicina,Urgncia Central,16.323809523809523,0.14285714285714285,4,3,winter,9.0
4.0,Cirurgia,Urgncia Central,26.3855421686747,0.27710843373493976,5,3,winter,
4.0,Medicina,Urgncia Central,11.503937007874017,0.14173228346456693,5,3,winter,10.0
4.0,Cirurgia,Urgncia Central,20.3125,0.03125,6,3,winter,
4.0,Medicina,Urgncia Central,6.111111111111111,0.03333333333333333,6,3,winter,11.0
4.0,Cirurgia,Urgncia Central,35.85333333333333,0.28,0,3,winter,
4.0,Medicina,Urgncia Central,13.8125,0.5208333333333334,0,3,winter,12.0
4.0,Cirurgia,Urgncia Central,41.604651162790695,0.046511627906976744,1,3,winter,
4.0,Medicina,Urgncia Central,23.991869918699187,0.21951219512195122,1,3,winter,13.0
4.0,Medicina,Urgncia Central,14.570247933884298,0.15702479338842976,2,3,winter,14.0
4.0,Cirurgia,Urgncia Central,26.422535211267604,0.1267605633802817,2,3,winter,
4.0,Medicina,Urgncia Central,22.047619047619047,0.30158730158730157,3,3,winter,15.0
4.0,Cirurgia,Urgncia Central,66.0,0.2222222222222222,3,3,winter,
4.0,Cirurgia,Urgncia Central,34.932432432432435,0.04054054054054054,4,3,winter,
4.0,Medicina,Urgncia Central,14.333333333333334,0.21739130434782608,4,3,winter,16.0
4.0,Medicina,Urgncia Central,12.420168067226891,0.09243697478991597,5,3,winter,17.0
4.0,Cirurgia,Urgncia Central,35.353658536585364,0.18292682926829268,5,3,winter,
4.0,Cirurgia,Urgncia Central,36.80898876404494,0.12359550561797752,6,3,winter,
4.0,Medicina,Urgncia Central,11.243697478991596,0.12605042016806722,6,3,winter,18.0
4.0,Cirurgia,Urgncia Central,15.0625,0.109375,0,3,winter,
4.0,Medicina,Urgncia Central,12.432,0.24,0,3,winter,19.0
4.0,Cirurgia,Urgncia Central,16.753623188405797,0.07246376811594203,1,3,winter,
4.0,Medicina,Urgncia Central,18.495934959349594,0.5609756097560976,1,3,winter,20.0
4.0,Cirurgia,Urgncia Central,15.590909090909092,0.1590909090909091,2,3,spring,
4.0,Medicina,Urgncia Central,13.476190476190476,0.2777777777777778,2,3,spring,21.0
4.0,Cirurgia,Urgncia Central,30.67241379310345,0.20689655172413793,3,3,spring,
4.0,Medicina,Urgncia Central,16.477064220183486,0.41284403669724773,3,3,spring,22.0
4.0,Medicina,Urgncia Central,16.441666666666666,0.09166666666666666,4,3,spring,23.0
4.0,Cirurgia,Urgncia Central,48.12903225806452,0.22580645161290322,4,3,spring,
4.0,Medicina,Urgncia Central,18.80373831775701,0.24299065420560748,5,3,spring,24.0
4.0,Cirurgia,Urgncia Central,53.0,0.03529411764705882,5,3,spring,
4.0,Medicina,Urgncia Central,20.954545454545453,0.14772727272727273,6,3,spring,25.0
4.0,Cirurgia,Urgncia Central,25.125,0.041666666666666664,6,3,spring,
4.0,Medicina,Urgncia Central,20.396039603960396,0.27722772277227725,0,3,spring,26.0
4.0,Cirurgia,Urgncia Central,32.59090909090909,0.06818181818181818,0,3,spring,
4.0,Medicina,Urgncia Central,16.306818181818183,0.2159090909090909,1,3,spring,27.0
4.0,Cirurgia,Urgncia Central,57.65625,0.15625,1,3,spring,
4.0,Medicina,Urgncia Central,12.594594594594595,0.2972972972972973,2,3,spring,28.0
4.0,Cirurgia,Urgncia Central,36.68571428571428,0.22857142857142856,2,3,spring,
4.0,Medicina,Urgncia Central,18.182608695652174,0.23478260869565218,3,3,spring,29.0
4.0,Cirurgia,Urgncia Central,32.84057971014493,0.15942028985507245,3,3,spring,
4.0,Medicina,Urgncia Central,15.55421686746988,0.24096385542168675,4,3,spring,30.0
4.0,Cirurgia,Urgncia Central,74.29545454545455,0.20454545454545456,4,3,spring,
4.0,Cirurgia,Urgncia Central,22.907894736842106,0.05263157894736842,5,3,spring,
4.0,Medicina,Urgncia Central,16.35,0.5,5,3,spring,31.0
4.0,Cirurgia,Urgncia Central,22.907894736842106,0.05263157894736842,6,4,spring,
4.0,Medicina,Urgncia Central,25.821782178217823,0.297029702970297,6,4,spring,1.0
4.0,Cirurgia,Urgncia Central,21.568627450980394,0.058823529411764705,0,4,spring,
4.0,Medicina,Urgncia Central,12.450381679389313,0.22900763358778625,0,4,spring,2.0
4.0,Medicina,Urgncia Central,13.763157894736842,0.14035087719298245,1,4,spring,3.0
4.0,Cirurgia,Urgncia Central,69.32142857142857,0.30357142857142855,1,4,spring,
4.0,Cirurgia,Urgncia Central,28.0,0.0,2,4,spring,
4.0,Medicina,Urgncia Central,9.519607843137255,0.10784313725490197,2,4,spring,4.0
4.0,Cirurgia,Urgncia Central,28.0,0.0,3,4,spring,
4.0,Medicina,Urgncia Central,11.81578947368421,0.13157894736842105,3,4,spring,5.0
4.0,Cirurgia,Urgncia Central,13.876712328767123,0.0,4,4,spring,
4.0,Medicina,Urgncia Central,10.564814814814815,0.12037037037037036,4,4,spring,6.0
4.0,Medicina,Urgncia Central,19.920454545454547,0.25,5,4,spring,7.0
4.0,Cirurgia,Urgncia Central,33.325,0.1375,5,4,spring,
4.0,Cirurgia,Urgncia Central,23.942028985507246,0.10144927536231885,6,4,spring,
4.0,Medicina,Urgncia Central,14.51,0.25,6,4,spring,8.0
4.0,Cirurgia,Urgncia Central,21.41176470588235,0.16470588235294117,0,4,spring,
4.0,Medicina,Urgncia Central,13.830188679245284,0.36792452830188677,0,4,spring,9.0
4.0,Cirurgia,Urgncia Central,36.10606060606061,0.6212121212121212,1,4,spring,
4.0,Medicina,Urgncia Central,6.36986301369863,0.0547945205479452,1,4,spring,10.0
4.0,Cirurgia,Urgncia Central,13.523809523809524,0.07142857142857142,2,4,spring,
4.0,Medicina,Urgncia Central,11.6,0.1368421052631579,2,4,spring,11.0
4.0,Medicina,Urgncia Central,12.136363636363637,0.3181818181818182,3,4,spring,12.0
4.0,Cirurgia,Urgncia Central,41.06122448979592,0.14285714285714285,3,4,spring,
4.0,Medicina,Urgncia Central,16.24705882352941,0.3764705882352941,4,4,spring,13.0
4.0,Cirurgia,Urgncia Central,34.79245283018868,0.18867924528301888,4,4,spring,
4.0,Cirurgia,Urgncia Central,26.325,0.075,5,4,spring,
4.0,Medicina,Urgncia Central,18.258823529411764,0.4235294117647059,5,4,spring,14.0
4.0,Cirurgia,Urgncia Central,23.395833333333332,0.125,6,4,spring,
4.0,Medicina,Urgncia Central,11.87603305785124,0.17355371900826447,6,4,spring,15.0
4.0,Medicina,Urgncia Central,19.4375,0.8125,0,4,spring,16.0
4.0,Cirurgia,Urgncia Central,28.783333333333335,0.25,0,4,spring,
4.0,Cirurgia,Urgncia Central,65.51162790697674,0.0,1,4,spring,
4.0,Medicina,Urgncia Central,33.845360824742265,0.9381443298969072,1,4,spring,17.0
4.0,Cirurgia,Urgncia Central,86.05128205128206,0.28205128205128205,2,4,spring,
4.0,Medicina,Urgncia Central,13.77450980392157,0.27450980392156865,2,4,spring,18.0
4.0,Medicina,Urgncia Central,14.8,0.2814814814814815,3,4,spring,19.0
4.0,Cirurgia,Urgncia Central,26.06779661016949,0.06779661016949153,3,4,spring,
4.0,Medicina,Urgncia Central,11.857142857142858,0.20952380952380953,4,4,spring,20.0
4.0,Cirurgia,Urgncia Central,43.671875,0.390625,4,4,spring,
4.0,Medicina,Urgncia Central,12.947916666666666,0.09375,5,4,spring,21.0
4.0,Cirurgia,Urgncia Central,37.73684210526316,0.5263157894736842,5,4,spring,
